account_id,account_name,action_values,actions_link_click,actions_post_reaction,actions_post,actions_onsite_conversion_post_save,actions_page_engagement,actions_post_engagement,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,cost_per_action_type_link_click ,cost_per_action_type_post_reaction,cost_per_action_type_post,cost_per_action_type_onsite_conversion_post_save,cost_per_action_type_page_engagement,cost_per_action_type_post_engagement,cost_per_inline_link_click,cost_per_inline_post_engagement,cost_per_unique_click,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_clicks,inline_post_engagement,reach,spend,unique_clicks,unique_ctr,video_p100_watched_views,video_p25_watched_views,video_p50_watched_views,video_p75_watched_views,video_p95_watched_views,website_ctr_link_click,date_of_report
1168086247128691,Paloceras first,,,,,,1,1,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.05,0.05,,,,0.649351,0.649351,0,2023-01-19,2023-01-19,1,77,,,77,0.05,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,,,,,,0,0,0,2023-01-19,2023-01-19,1,1,,,1,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,,,,,,0,0,0,2023-01-19,2023-01-19,1,1,,,1,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,,,,,,0,0,0,2023-01-19,2023-01-19,1,1,,,1,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,47,47,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.018936,0.018936,,,0.89,0.329508,0.329874,0.037023,2023-01-19,2023-01-19,1.001112,2701,,,2698,0.89,1,0.037064,7,37,15,8,7,,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.02,0.02,,,,0.277778,0.28169,0,2023-01-19,2023-01-19,1.014085,72,,,71,0.02,0,,,1,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,16,16,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.016875,0.016875,,,,0.370879,0.370879,0,2023-01-19,2023-01-19,1,728,,,728,0.27,0,,5,11,8,6,5,,03/09/2024

1168086247128691,Paloceras first,,1,,,,6,6,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,0.1,,,,0.016667,0.016667,0.1,0.1,0.1,0.306748,0.307692,0.306748,2023-01-19,2023-01-19,1.003077,326,1,1,325,0.1,1,0.307692,1,4,1,1,1,0.306748,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,,,,,,0,0,0,2023-01-19,2023-01-19,1,7,,,7,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,0.322581,0.322581,0,2023-01-19,2023-01-19,1,31,,,31,0.01,0,,,1,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,5,5,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.004,0.004,,,,0.25641,0.31746,0,2023-01-19,2023-01-19,1.238095,78,,,63,0.02,0,,1,4,1,1,1,,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,10,10,0,2023-01-19,2023-01-19,1,1,,,1,0.01,0,,,1,,,,,03/09/2024

1168086247128691,Paloceras first,,10,1,,,234,234,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,0.147,,,,0.006282,0.006282,0.147,0.133636,0.105,0.412574,0.444109,0.420994,2023-01-19,2023-01-19,1.076435,3563,10,11,3310,1.47,14,0.422961,48,154,85,69,49,0.280662,03/09/2024

1168086247128691,Paloceras first,,1,,,,3,3,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,0.01,,,,0.003333,0.003333,0.01,0.01,0.01,0.2,0.27027,2,2023-01-19,2023-01-19,1.351351,50,1,1,37,0.01,1,2.702703,1,2,1,1,1,2,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.03,0.03,,,0.03,0.4,0.46875,1.333333,2023-01-19,2023-01-19,1.171875,75,,,64,0.03,1,1.5625,,1,1,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,,,,,,0,0,0,2023-01-19,2023-01-19,1.230769,16,,,13,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.005,0.005,,,,0.5,0.555556,0,2023-01-19,2023-01-19,1.111111,20,,,18,0.01,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.005,0.005,,,,0.357143,0.384615,0,2023-01-19,2023-01-19,1.076923,28,,,26,0.01,0,,,2,1,1,,,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,0.30303,0.37037,0,2023-01-19,2023-01-19,1.222222,33,,,27,0.01,0,,1,1,1,1,1,,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,0.106383,0.106383,0,2023-01-20,2023-01-20,1,94,,,94,0.01,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.075,0.075,,,,0.547445,0.547445,0,2023-01-20,2023-01-20,1,274,,,274,0.15,0,,,2,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,,,,,,0.47619,0.487805,0,2023-01-20,2023-01-20,1.02439,42,,,41,0.02,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,1,,,,32,32,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,0.49,,,,0.015313,0.015313,0.49,0.49,0.163333,0.271619,0.272071,0.166297,2023-01-20,2023-01-20,1.001666,1804,1,1,1801,0.49,3,0.166574,6,26,9,7,6,0.055432,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,0.338983,0.338983,0,2023-01-20,2023-01-20,1,59,,,59,0.02,0,,1,1,1,1,1,,03/09/2024

1168086247128691,Paloceras first,,,,,,3,3,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.063333,0.063333,,,,0.405983,0.405983,0,2023-01-20,2023-01-20,1,468,,,468,0.19,0,,1,2,2,1,1,,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.08,0.08,,,,0.390244,0.392157,0,2023-01-20,2023-01-20,1.004902,205,,,204,0.08,0,,,1,1,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,,,,,,0,0,0,2023-01-20,2023-01-20,1,2,,,2,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853071466000019,New Traffic ad,23853071465890019,New Traffic ad set,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,1.428571,1.428571,0,2023-01-20,2023-01-20,1,14,,,14,0.02,0,,,2,1,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,6,6,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.006667,0.006667,,,,0.454545,0.519481,0,2023-01-20,2023-01-20,1.142857,88,,,77,0.04,0,,2,5,2,2,2,,03/09/2024

1168086247128691,Paloceras first,,6,,,,190,190,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,0.186667,,,,0.005895,0.005895,0.186667,0.16,0.112,0.384351,0.402154,0.343171,2023-01-20,2023-01-20,1.04632,2914,6,7,2785,1.12,10,0.359066,45,135,75,65,47,0.205903,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,0.540541,0.625,0,2023-01-20,2023-01-20,1.15625,37,,,32,0.02,0,,,1,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,5,5,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.002,0.002,,,,0.111111,0.135135,0,2023-01-20,2023-01-20,1.216216,90,,,74,0.01,0,,,4,2,1,,,03/09/2024

1168086247128691,Paloceras first,,,,,,1,1,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0,0,,,,0,0,0,2023-01-20,2023-01-20,1,10,,,10,0,0,,,1,1,1,1,,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.005,0.005,,,,0.454545,0.526316,0,2023-01-20,2023-01-20,1.157895,22,,,19,0.01,0,,,2,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,4,4,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0,0,,,,0,0,0,2023-01-20,2023-01-20,1.25,20,,,16,0,0,,,2,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,2,2,23853072122590019,New Traffic ad,23853072122580019,New Traffic ad set � Copy,23853071465870019,Traffic to Discord #1,,,,,0.01,0.01,,,,0.625,0.666667,0,2023-01-20,2023-01-20,1.066667,32,,,30,0.02,0,,1,2,2,2,1,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877010110019,Awareness - Europe - Image,23853784261470019,Awareness ad set � Farfetch & Highsnobiety - USA,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1,8,,,8,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877018180019,Awareness - Europe - Carousel,23853784261470019,Awareness ad set � Farfetch & Highsnobiety - USA,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1,3,,,3,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,1,,,1,1,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,0.02,0.02,,0.02,0.01,0.023015,0.034722,0.23015,2023-03-23,2023-03-23,1.508681,869,,1,576,0.02,2,0.347222,,,,,,,03/09/2024

1168086247128691,Paloceras first,,1,,,,1,1,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,0.04,,,,0.04,0.04,0.04,0.04,0.04,0.28777,0.28777,0.719424,2023-03-23,2023-03-23,1,139,1,1,139,0.04,1,0.719424,,,,,,0.719424,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1.75,280,,,160,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1,39,,,39,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,11,2,,,13,13,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,0.049091,,,,0.041538,0.041538,0.049091,0.041538,0.028421,0.091806,0.091806,0.34002,2023-03-23,2023-03-23,1,5882,11,13,5882,0.54,19,0.323019,,,,,,0.187011,03/09/2024

1168086247128691,Paloceras first,,4,,,,4,4,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,0.0225,,,,0.0225,0.0225,0.0225,0.0225,0.012857,0.045872,0.053066,0.356779,2023-03-23,2023-03-23,1.15684,1962,4,4,1696,0.09,7,0.412736,,,,,,0.203874,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,0,0,0,4,2023-03-23,2023-03-23,1,25,,,25,0,1,4,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,2.0625,66,,,32,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,0.04,0.104712,0.104712,0.26178,2023-03-23,2023-03-23,1,382,,,382,0.04,1,0.26178,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0.29703,0.3125,0,2023-03-23,2023-03-23,1.052083,101,,,96,0.03,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0.113636,0.113636,0,2023-03-23,2023-03-23,1,88,,,88,0.01,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1.3125,42,,,32,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,61,47,,2,110,110,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,0.101967,,,3.11,0.056545,0.056545,0.101967,0.056545,0.060388,0.060425,0.061317,0.102976,2023-03-23,2023-03-23,1.014757,102937,61,110,101440,6.22,103,0.101538,,,,,,0.05926,03/09/2024

1168086247128691,Paloceras first,,,1,,,1,1,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,0.57,0.57,,0.57,0.1425,0.097703,0.099511,0.068564,2023-03-23,2023-03-23,1.018506,5834,,1,5728,0.57,4,0.069832,,,,,,,03/09/2024

1168086247128691,Paloceras first,,1,,,,1,1,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,0.15,,,,0.15,0.15,0.15,0.15,0.075,0.059406,0.064212,0.079208,2023-03-23,2023-03-23,1.080908,2525,1,1,2336,0.15,2,0.085616,,,,,,0.039604,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1.3125,42,,,32,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1,71,,,71,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1,67,,,67,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1.484375,95,,,64,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1,91,,,91,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,0.06,0.074813,0.089286,0.124688,2023-03-23,2023-03-23,1.193452,802,,,672,0.06,1,0.14881,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0.089087,0.096154,0,2023-03-23,2023-03-23,1.079327,449,,,416,0.04,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0.082873,0.082873,0,2023-03-23,2023-03-23,1,362,,,362,0.03,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,0,0,2023-03-23,2023-03-23,1,6,,,6,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,0.02,0.204082,0.3125,1.020408,2023-03-23,2023-03-23,1.53125,98,,,64,0.02,1,1.5625,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,,0,,0,2023-03-23,2023-03-23,0,54,,,0,0,0,,,,,,,,03/09/2024

1168086247128691,Paloceras first,,,,,,,,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,,,,,,,,,0.01,0.022676,0.022676,0.226757,2023-03-23,2023-03-23,1,441,,,441,0.01,1,0.226757,,,,,,,03/09/2024

1168086247128691,Paloceras first,,9,,,,9,9,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,0.016667,,,,0.016667,0.016667,0.016667,0.016667,0.016667,0.066875,0.074405,0.401248,2023-03-23,2023-03-23,1.112599,2243,9,9,2016,0.15,9,0.446429,,,,,,0.401248,03/09/2024

1168086247128691,Paloceras first,,44,5,,,49,49,23853877506500019,Awareness - Europe - Image,23853877506570019,Awareness ad set � Farfetch & Highsnobiety - Asia,23853784261440019,Awareness campaign,0.027955,,,,0.025102,0.025102,0.027955,0.025102,0.019219,0.075739,0.078125,0.406404,2023-03-23,2023-03-23,1.031504,16240,44,49,15744,1.23,64,0.406504,,,,,,0.270936,03/09/2024

